name,time,introduction,image,school
北洋工学院被迫西迁，合组西安临时大学,1937, 1937年，日军侵占天津，北洋工学院被迫西迁入陕，合组西安临时大学,http://www.tju.edu.cn/__local/C/72/4D/DCA17B69353772A4DF4271DE507_97CCAAFB_920C.jpeg,国立北洋工学院、国立西安临时大学
西安临时大学迁校汉中，改称西北联合大学，后合组为西北工学院,1938, 1938年，西安临时大学迁校汉中，改称西北联合大学，后合组为西北工学院，校址在陕西城固古路坝,http://www.tju.edu.cn/__local/6/D2/F2/C2197CF658120F5B7BF2956558F_C7D94D9C_407D.jpeg,西安临时大学、国立西北联合大学
国立英士大学工学院独立为“国立北洋工学院”,1942, 1942年12月，民国行政院在将浙江国立英士大学工学院划出，独立为“国立北洋工学院”,http://www.tju.edu.cn/__local/C/DC/8C/0BDFBB1C7611CDD2DE1A875C8F5_683BAABE_2B41.jpeg,国立北洋工学院
北洋工学院西京分院建立,1944, 1944年春，教育部拨款建立“北洋工学院西京分院”，12月开学，校址在西安市,http://www.tju.edu.cn/__local/E/E6/BB/E0E467FE3B0EB02A3E8CF1661AF_6EC2F327_B423.jpeg,国立西北工学院
北洋大学在天津西沽原址复校,1946,  1946年1月，北洋大学在天津西沽原校址复校。西北工学院、泰顺国立北洋工学院、北洋工学院西京分院等校师生大部分返回西沽。北洋大学下设工学院和理学院,http://www.tju.edu.cn/__local/C/A0/0A/B3381FC1BA11446AD88769400B9_B97E62B9_8EBD.jpeg,国立西北工学院
北洋大学与河北工学院合并，定名为天津大学,1951,  1951年，北洋大学与河北工学院合并。定名为天津大学。1958年，河北工学院从天津大学分离出而单独复校,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学、河北工学院
天津大学成为多科性工业大学,1952, 1952至1958年，院系调整时期，天津大学调出18个系和学科进入其他院校或组建新的大学，支持了新中国的高等教育建设。同时期，南开大学等8校的工学院调入天津大学。天津大学成为多科性工业大学,http://www.tju.edu.cn/__local/5/F2/86/82F557FC5427A80E2BC7570E538_825EA8E3_7278.jpeg,天津大学、南开大学、清华大学、北京邮电大学
周恩来总理视察天津大学,1957, 1957年4月10日和1959年5月28日，周恩来总理两次来天津大学视察,http://www.tju.edu.cn/__local/8/6A/E2/FE7921C27E62984B693B5AC8EC1_A8D4B6C6_2EE2.jpeg,天津大学
毛泽东主席视察天津大学,1958, 1958年8月13日，毛泽东主席视察天津大学，发表了三点指示：“一是党委领导；二是群众路线；三是教育与生产劳动相结合”，对天津大学的办学经验给予充分的肯定,http://www.tju.edu.cn/__local/B/C2/CA/370090297ED366B284F2D0C32EC_BEDB09F7_A0A9.jpeg,天津大学
中共中央总书记邓小平视察天津大学,1958, 1958年10月9日，时任中共中央总书记邓小平视察天大并作了“教学、科研、生产要三结合，它们是互相帮助、互相配合、互相促进的”以及“大学校要办大事”的指示,http://www.tju.edu.cn/__local/5/51/0E/6BE324A21FAA512CC075F39CB55_B85FFD0E_37C9.jpeg,天津大学
天津大学被定为国家首批16所重点大学之一,1959,1959年，中央指定16所高校为国家重点大学，天津大学成为首批重点大学之一,http://www.tju.edu.cn/__local/E/0B/1C/7D4D4716983FD48BCDF8552FD14_7192E8F0_2AC7.jpeg,天津大学
恢复全国高等教育招生考试,1978, 1978年，教育部颁布了《全国重点学校暂行工作条例》，天津大学再次被列为重点院校；同年招收恢复高考的第一届学生,http://www.tju.edu.cn/__local/1/FD/18/B1ECABFEC996D28AF65BC1A2DED_DF5D7BAC_8166.jpeg,天津大学
天津大学获得首批博士学位授予权,1981,1981年，天津大学经国务院批准，获得首批博士学位授予权,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学成立研究生院,1984,1984年12月，学校成立了研究生院，成为全国高校首批建立研究生院的单位,http://www.tju.edu.cn/__local/F/CF/1D/5CB40DDE08B0DFAB60D81C8299F_74BD278D_9149.jpeg,天津大学
天津大学在全国首倡“综合性、研究型、开放式”的办学方向,1986,1986年12月，学校首次提出了将“综合性、研究型、开放式”作为天津大学的办学方向,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
国家教委与天津市人民政府签署了共建天津大学协议书,1994,1994年11月，国家教委与天津市人民政府签署了共建天津大学协议书，天大在建制上仍为国家教委直属高校，领导体制上由国家教委和天津市双重领导,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
北洋大学—天津大学百年校庆大典成功举办,1995,1995年10月2日，学校隆重庆祝百年华诞，时任党和国家主要领导人为百年校庆题词。李瑞环、李岚清等党和国家领导人出席庆典,http://www.tju.edu.cn/__local/8/DD/D6/FCDCF2DDC3647C247E9B8606F26_5E593AAA_989F.jpeg,天津大学
天津大学被列为国家“211工程”重点建设院校,1997,1997年2月，天津大学被列为国家“211工程”重点建设院校,http://www.tju.edu.cn/__local/D/F5/66/A748B983BD480229E7CC79E9C7A_988BC8EC_4CF6.jpeg,天津大学
天大天财股份有限公司股票在深圳证券交易所上市,1997,1997年9月29日，由天津大学控股的天大天财股份有限公司股票在深圳证券交易所上市，这是全国高校第一家在深圳证券交易所上市的公司,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
学院制改革顺利完成,1997,1997年，天津大学在全校普遍推行了学院制，建成了11个学院，集中体现了以工为主、理工结合，经、管、文、法协调发展的办学思路,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学顺利通过教育部组织的本科教学评估,1999,1999年，学校以优异成绩顺利通过教育部组织的本科教学评估，评估结论为“优秀”,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学提出新世纪学校的发展方向是“上水平、出精品、办特色”,2000,2000年，学校提出了新世纪学校的发展方向是“上水平、出精品、办特色”,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学被列入了国家“985工程”一期重点建设院校,2000,2000年12月，天津大学被列入了国家“985工程”一期重点建设院校，开始了建设国内外知名高水平大学的历程,http://www.tju.edu.cn/__local/3/36/D9/10E386356B6588A6E78DE5D5238_4B3895A9_518F.jpeg,天津大学
天津大学提出实施“三步走”的发展战略,2003,2003年，学校提出了实施“三步走”的发展战略和到本世纪中叶前后，把天津大学建设成为综合性、研究型、开放式、国际化的世界一流大学的发展目标,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学把教学工作定位于学校各项工作的优先位置,2006,2006年12月，学校在第六次教学工作会议上明确提出，把教学工作定位于学校各项工作的优先位置,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津大学被列入中国工程院和教育部10所工程教育改革试点学校,2007,2007年，学校列入中国工程院和教育部10所工程教育改革试点学校,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
天津市通过了天津大学新校区选址方案,2009,2009年，天津市通过了天津大学、南开大学新校区选址津南区海河中游南岸地区的方案,http://www.tju.edu.cn/__local/A/5D/7C/A3B31A728F886FD01C5FC8FB1FD_A5DDEC23_B3B9.jpeg,天津大学、南开大学
教育部和天津市政府签署了共建天津大学新校区框架协议,2010,2010年3月，教育部和天津市政府签署了共建天津大学新校区框架协议,http://www.tju.edu.cn/__local/A/5D/7C/A3B31A728F886FD01C5FC8FB1FD_A5DDEC23_B3B9.jpeg,天津大学
天津大学加入《卓越人才培养合作框架协议》,2010,2010年12月，天津大学与同济大学等9所高校签署了《卓越人才培训合作框架协议》，组建“卓越人才培养合作高校联盟”，推动创新人才培养方面的交流合作,http://www.tju.edu.cn/__local/1/95/DF/CC2DC68112648111B5BD4276F19_EAFEF7E8_913F.jpeg,天津大学、北京理工大学、东南大学、大连理工大学、哈尔滨工业大学、华南理工大学、同济大学、西北工业大学、重庆大学
天津大学新校区建设开工,2011,2011年12月，天津海河教育园二期工程暨天津大学、南开大学新校区建设开工仪式举行，天津大学新校区正式开工建设,http://www.tju.edu.cn/__local/A/5D/7C/A3B31A728F886FD01C5FC8FB1FD_A5DDEC23_B3B9.jpeg,天津大学、南开大学
天津化学化工协同创新中心成为首批14个“2011计划”建设单位之一,2013,2013年4月，由天津大学作为牵头单位培育组建的全国首个协同新心中心——天津化学化工协同创新中心通过“2011计划”认定，成为首批14个“2011计划”建设单位之一,http://www.tju.edu.cn/__local/B/77/E1/ADEFFA679D419E344E409BAAF40_08667E78_A63F.jpg,天津大学、南开大学
《天津大学章程》经教育部核准，正式实施,2014,2014年7月21日，《天津大学章程》经教育部核准，正式实施。,http://www.tju.edu.cn/__local/D/97/3D/E1A3849BC4431988D98A4078B23_A6797B60_76D5.jpg,天津大学
宣怀学院成立,2015,2015年2月3日，天津大学联手中科招商集团挂牌成立“宣怀学院”。,"https://bkimg.cdn.bcebos.com/pic/95eef01f3a292df556714436b8315c6034a87367?x-bce-process=image/watermark,image_d2F0ZXIvYmFpa2U5Mg==,g_7,xp_5,yp_5/format,f_auto",天津大学
重新整合理学院、成立数学学院,2016,2016年12月29日，学校在北洋园校区召开大会宣布重新整合理学院、成立数学学院。,,天津大学
天津大学入选“双一流”建设高校名单,2017,2017年，教育部、财政部、国家发展改革委印发《关于公布世界一流大学和一流学科建设高校及建设学科名单的通知》，公布世界一流大学和一流学科（简称“双一流”）建设高校及建设学科名单。天津大学入围42所一流大学建设高校，且为36所A类高校之一。,http://www.tju.edu.cn/__local/1/0A/13/2A50F50DAE2943E06D0A1D3BE28_A7163A49_A977.jpeg,天津大学
入选教育部首批国家级新工科研究与实践项目,2018,2018年3月，入选教育部首批国家级新工科研究与实践项目。,,天津大学
天津大学新工科教育中心揭牌成立,2018,2018年4月9日，天津大学新工科教育中心揭牌成立，此为全球首个新工科教育教学研究、培训、交流基地。,,天津大学
天津大学成为首批20所学位授权自主审核单位之一,2018,2018年4月19日，经国务院学位委员会批准，天津大学成为首批20所学位授权自主审核单位之一。,,天津大学
天津大学智能与计算学部揭牌成立,2018,2018年5月16日，天津大学智能与计算学部揭牌成立。,"https://bkimg.cdn.bcebos.com/pic/7c1ed21b0ef41bd566b623575dda81cb38db3da8?x-bce-process=image/watermark,image_d2F0ZXIvYmFpa2UxMTY=,g_7,xp_5,yp_5/format,f_auto",天津大学
天津大学在高校社会影响力榜单排名第九，高校媒体影响力榜单排名第九，高校新媒体影响力榜单排名第六,2018,2018年10月，《2017-2018中国高校社会影响力排行榜》发布，天津大学在高校社会影响力榜单排名第九，高校媒体影响力榜单排名第九，高校新媒体影响力榜单排名第六。,,天津大学
入选教育部第一批中华优秀传统文化传承基地,2018,2018年11月，入选教育部第一批中华优秀传统文化传承基地。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2F5b0988e595225.cdn.sohucs.com%2Fimages%2F20181207%2F60857b385bc84399a60825ca20335ef7.jpeg&refer=http%3A%2F%2F5b0988e595225.cdn.sohucs.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642074045&t=01104339bd837bc4e4914922a25c218c",天津大学
天津大学与四川省人民政府签署战略合作协议,2018,2018年11月29日，天津大学与四川省人民政府签署战略合作协议。,http://5b0988e595225.cdn.sohucs.com/images/20181130/21dbfd13c2f54c64bdb87a66848e8857.jpeg,天津大学
天津大学、新加坡国立大学、福州市政府、福建省教育厅在福州签订合作办学协议，天津大学福州国际校区落户滨海新城,2018,2018年12月1日，天津大学、新加坡国立大学、福州市政府、福建省教育厅在福州签订合作办学协议，天津大学福州国际校区落户滨海新城。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fmmbiz-qpic-cn.weituibao.com%2Fmmbiz_jpg%2FbxCKebZG4JibiabgL6z52WXK81L1fK6ibwxSMRrG2iaCBLiaVkAH3Fkpooeh0GpoESqFWqF3LlaBrbs9icG8aFeAhqbA%2F0.jpeg&refer=http%3A%2F%2Fmmbiz-qpic-cn.weituibao.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642074178&t=af7887a16761560f21c4604e5cf13d9e",天津大学、新加坡国立大学
天津大学医教联合体成立,2018,2018年12月9日，天津大学医教联合体成立，学校与天津市海河医院、天津市儿童医院、天津市环湖医院、天津市胸科医院和天津市中西医结合医院签署全面合作关系协议，合作共建附属医院。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2F5b0988e595225.cdn.sohucs.com%2Fimages%2F20181209%2F3c918cb3664e4545a649846a39e40d88.jpeg&refer=http%3A%2F%2F5b0988e595225.cdn.sohucs.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642074244&t=92a372f5125f5d7517bd845dc863aa4c",天津大学
天津大学被教育部认定为首批高等学校科技成果转化和技术转移基地,2019,2019年2月，天津大学被教育部认定为首批高等学校科技成果转化和技术转移基地。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2F5b0988e595225.cdn.sohucs.com%2Fq_70%2Cc_zoom%2Cw_640%2Fimages%2F20190314%2F83d46249a9ac442baab0edec2032095b.jpeg&refer=http%3A%2F%2F5b0988e595225.cdn.sohucs.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075284&t=f829385f780677f8f5ffef5ed14288c0",天津大学
天津大学牵头成立国家级稀土催化研究院。,2019,2019年8月，学校牵头成立国家级稀土催化研究院。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fspider.ws.126.net%2F237eda4c2ee9844cd3c9220ef053a287.jpeg&refer=http%3A%2F%2Fspider.ws.126.net&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075333&t=a668e4c1be5a251ced73c5213c496279",天津大学
北京古建筑研究院在天津大学揭牌成立,2020,2020年9月15日，北京市文物局与天津大学签署战略合作框架协议，北京古建筑研究院在天津大学揭牌成立,"https://img2.baidu.com/it/u=1570619266,4200167163&fm=15&fmt=auto",天津大学
天津市滨海新区人民政府与天津大学召开启动会,2020,2020年9月27日，天津市滨海新区人民政府与天津大学召开启动会，依托天津市泰达医院、泰达国际心血管病医院、中新国际医院，共建天津大学滨海直属医院体系，打造医教协同、医工融合的高水平三级甲等医院集成示范区,"https://img2.baidu.com/it/u=1622917123,659332937&fm=253&fmt=auto&app=138&f=JPEG?w=650&h=382",天津大学
联合成立“圆明园研究高校联盟”,2020,2020年10月17日，联合成立“圆明园研究高校联盟”,https://pics6.baidu.com/feed/9213b07eca806538b2c0e087505ed343ac348283.jpeg?token=ec1a726fa3549a8cb362b40c0cc75bb4,天津大学、北京交通大学、北京外国语大学、中国农业大学、中央美术学院和北京大学、北京林业大学和北京理工大学
参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,2020,2020年10月，参与与天津市红桥区人民政府签署红桥区“大中小幼思政教育一体化建设联盟”,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fimg3.027art.cn%2Fimg%2F2020%2F12%2F09%2F1607513820151834.jpg&refer=http%3A%2F%2Fimg3.027art.cn&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075662&t=0037f7f6d8530d831931cf4bfd10496d",天津大学、南开大学、河北工业大学、天津师范大学、天津外国语大学、天津商业大学
联合成立高校“城乡规划扶贫联盟”,2020,2020年10月20日，联合成立高校“城乡规划扶贫联盟”,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fnews.nwpu.edu.cn%2F__local%2FD%2F1B%2FF5%2FD903B8BE2838C29B2E0815EB405_DFFF741A_1CAC4.jpg&refer=http%3A%2F%2Fnews.nwpu.edu.cn&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075701&t=8e16e256f520a33a8dfcb8c68325b488",天津大学、重庆大学、大连理工大学、东北大学、东南大学、合肥工业大学、华南理工大学、天津大学、同济大学、西北工业大学、西南交通大学、中国地质大学（北京）
中国石油化工集团和天津大学共同担任天津精细化工和新材料产业（人才）联盟主席单位,2020,2020年11月，中国石油化工集团和天津大学共同担任天津精细化工和新材料产业（人才）联盟主席单位,"https://img2.baidu.com/it/u=2373101041,3415052816&fm=15&fmt=auto",天津大学
天津大学被确定为第二批教育融媒体建设试点单位,2020,2020年11月，被确定为第二批教育融媒体建设试点单位,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fimg.scimall.org.cn%2Fcollect%2F2020%2F11%2F17%2Fwt_a42312020117112515_b7266a.jpg&refer=http%3A%2F%2Fimg.scimall.org.cn&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075821&t=3c5f34e107ce91f9bef5d4f4a13394d1",天津大学
“2017至2019年全国内部审计先进集体”,2020,2020年11月，《中国内部审计协会关于表彰2017至2019年全国内部审计先进集体和先进工作者的决定》表彰天津大学审计处为“2017至2019年全国内部审计先进集体”。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fnews.tju.edu.cn%2F__local%2FB%2F4D%2F6F%2FBAA9E2BBBC91EA605CF53BF9D46_B15B50FB_1C5623.png&refer=http%3A%2F%2Fnews.tju.edu.cn&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075899&t=cc634e81273d09ed5b6701d55fee61a6",天津大学
天津大学社会主义学院揭牌成立。,2021,2021年3月25日，天津大学社会主义学院揭牌成立。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fnimg.ws.126.net%2F%3Furl%3Dhttp%3A%2F%2Fdingyue.ws.126.net%2F2021%2F0330%2Fa7f16141j00qqs6ei0019d200go00b4g00go00b4.jpg%26thumbnail%3D650x2147483647%26quality%3D80%26type%3Djpg&refer=http%3A%2F%2Fnimg.ws.126.net&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075933&t=cff8d78ad83fa8be4820978360b58fa4",天津大学
天津大学管理与经济学部深圳管理学院揭牌成立,2021,2021年5月15日，天津大学管理与经济学部深圳管理学院揭牌成立。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Finews.gtimg.com%2Fnewsapp_bt%2F0%2F13531640333%2F1000.jpg&refer=http%3A%2F%2Finews.gtimg.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075955&t=982c07c3f2aee18d86f230970b9b732e",天津大学
天津大学获批教育部首批未来技术学院,2021,2021年5月，获批教育部首批未来技术学院。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Ftxs.youth.cn%2Fxw%2F202105%2FW020210527374152556968.png&refer=http%3A%2F%2Ftxs.youth.cn&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642075987&t=51fc5e85e834d8e8a8069d9f37625658",天津大学
天津大学-中科闻歌计算智能联合实验室揭牌成立,2021,2021年6月21日，天津大学-中科闻歌计算智能联合实验室揭牌成立。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fnimg.ws.126.net%2F%3Furl%3Dhttp%253A%252F%252Fdingyue.ws.126.net%252F2021%252F0628%252Fa3fe3502j00qvecfi000tc000hs00buc.jpg%26thumbnail%3D650x2147483647%26quality%3D80%26type%3Djpg&refer=http%3A%2F%2Fnimg.ws.126.net&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642076028&t=f92503792a169d328b292ea6a123a17d",天津大学
天津大学入选中国教育发展战略学会国际胜任力培养专业委员会常务理事单位,2021,2021年7月24日，天津大学入选中国教育发展战略学会国际胜任力培养专业委员会常务理事单位。,,天津大学
天津大学与印尼华文教育机构签署合作办学备忘录,2021,"2021年11月29日，天津大学与印尼华文教育机构签署合作办学备忘录,就交换奖学金、合作办学、研究和文化交流等达成协议。",,天津大学、印尼华文教育机构
天津大学仰大勇教授团队联合中石油石化研究院成功研发新型DNA生物塑料,2021,2021年11月30日，天津大学仰大勇教授团队联合中石油石化研究院成功研发新型DNA生物塑料，这种塑料原料来源丰富，生产、使用和回收处理全过程均与生态环境友好兼容，且可以低能耗无损回收，有望在部分应用领域替代石油基塑料。该成果已发表于领域权威期刊《美国化学会志》。,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fcres.topqh.net%2Fattached%2Fimage%2F2021%2F11%2F25%2Fd532c4180e8148b9bac6aa1eb0751768_small.jpg&refer=http%3A%2F%2Fcres.topqh.net&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=jpeg?sec=1642076219&t=bc8612d3a6b18a3193331145f03d4f0e",天津大学
天津大学智能与计算学部入选教育部首批特色化示范性软件学院名单,2021,2021年12月6日，教育部官网发布了《关于首批特色化示范性软件学院名单的公示》。天津大学智能与计算学部入选教育部首批特色化示范性软件学院名单。,,天津大学
天津大学举行党的百年奋斗历史经验与世界一流大学建设研讨会,2021,"2021年12月8日，天津大学举行党的百年奋斗历史经验与世界一流大学建设研讨会。校党委书记杨贤金出席会议并讲话,校党委副书记雷鸣主持会议杨贤金指出,回望过往的奋斗路,眺望前方的奋进路,我们必须把党的历史学习好、总结好,把党的成功经验传承好、发扬好。",,天津大学
“天津大学一号”卫星升空,2021,2021年12月7日中午12时12分，天津云遥宇航科技有限公司（以下简称：云遥宇航）和长光卫星技术有限公司联合研制的新型气象观测小卫星“天津大学一号”卫星在酒泉卫星发射中心搭乘“谷神星一号”运载火箭发射升空，卫星顺利进入预定轨道，发射任务取得圆满成功。,"https://img2.baidu.com/it/u=4016037716,449940057&fm=253&fmt=auto&app=120&f=PNG?w=526&h=296",天津大学
